iter	Logloss
0	0.6483116915
1	0.6129109975
2	0.5783560407
3	0.551723286
4	0.5268568559
5	0.5059758994
6	0.4853837042
7	0.4670600567
8	0.4539762545
9	0.4397192236
10	0.4266938188
11	0.4173691126
12	0.4078909322
13	0.3994725337
14	0.3907396869
15	0.3848839339
16	0.3787089822
17	0.3730899098
18	0.3683376089
19	0.3640158544
20	0.3603253701
21	0.3567001993
22	0.3533611654
23	0.3518858383
24	0.3486559876
25	0.3458293664
26	0.3436370891
27	0.3410646078
28	0.338696195
29	0.3374875118
30	0.3354989028
31	0.3339653876
32	0.332338541
33	0.3307404287
34	0.3292453274
35	0.3284881179
36	0.3273167506
37	0.3262423729
38	0.3252017971
39	0.3239554031
40	0.3227706533
41	0.3218372146
42	0.3210386005
43	0.3200271222
44	0.3192114374
45	0.3186289088
46	0.3176578641
47	0.3168172352
48	0.3163607879
49	0.3157488312
50	0.3151840492
51	0.31458483
52	0.3141431154
53	0.3134410814
54	0.3130722188
55	0.3125765428
56	0.3121572147
57	0.3115361732
58	0.3110966664
59	0.310169903
60	0.3097316185
61	0.3090952459
62	0.3087631225
63	0.3083703545
64	0.3078843979
65	0.3071375438
66	0.3067654011
67	0.3063933039
68	0.3061076761
69	0.3056523911
70	0.3053512958
71	0.3050757042
72	0.3046216518
73	0.3041884247
74	0.3038929395
75	0.3030459622
76	0.3027747383
77	0.3025274197
78	0.3022202821
79	0.3016680447
80	0.3013560676
81	0.3011740253
82	0.300847572
83	0.3006404701
84	0.3003150085
85	0.3001569516
86	0.2997916179
87	0.2994746804
88	0.2992324813
89	0.2989735097
90	0.298714894
91	0.2984521176
92	0.2980321579
93	0.2977432566
94	0.2975563035
95	0.2972789986
96	0.2970097377
97	0.2967996968
98	0.2966241576
99	0.2964744057
100	0.2961825005
101	0.2959657681
102	0.2957102501
103	0.2954076665
104	0.2951290331
105	0.2949289882
106	0.2948062823
107	0.2946031737
108	0.2944333929
109	0.2941813468
110	0.2939767919
111	0.2936761195
112	0.2934635771
113	0.292761319
114	0.292621471
115	0.2924432976
116	0.292068705
117	0.2918538475
118	0.2917222188
119	0.2915247051
120	0.2913216851
121	0.2911392714
122	0.2909813357
123	0.2907393297
124	0.2906525406
125	0.2904403073
126	0.290327948
127	0.2901529347
128	0.2899729673
129	0.2895886918
130	0.2892979151
131	0.2891352778
132	0.2887449967
133	0.2885934025
134	0.2884877322
135	0.2883584182
136	0.2881373705
137	0.2880180067
138	0.2879005146
139	0.2877584241
140	0.2876232871
141	0.287518976
142	0.2874189157
143	0.2872354896
144	0.2869959229
145	0.2868528961
146	0.2867334044
147	0.2866134766
148	0.2864915017
149	0.2864003988
150	0.2862398152
151	0.2861321052
152	0.2860062084
153	0.2858391273
154	0.2857123443
155	0.2855906261
156	0.2855015503
157	0.2850727494
158	0.2850082558
159	0.284896046
160	0.2847523874
161	0.2846517882
162	0.2845001642
163	0.2843714319
164	0.2842992874
165	0.2841416132
166	0.2840236819
167	0.2838993143
168	0.283826283
169	0.2836965551
170	0.2835557104
171	0.2834636428
172	0.2833565037
173	0.282870124
174	0.2827632512
175	0.2826252379
176	0.2825122265
177	0.2824352386
178	0.2823809076
179	0.2823023879
180	0.2821127286
181	0.2820685626
182	0.281985295
183	0.2818883831
184	0.2818212974
185	0.2814337922
186	0.281323822
187	0.2812432937
188	0.2811499096
189	0.2809933803
190	0.2808769013
191	0.2807380993
192	0.2806258727
193	0.2804817968
194	0.2804155457
195	0.280337342
196	0.280226354
197	0.2801642455
198	0.2800374414
199	0.2799309207
200	0.2798700183
201	0.2797422928
202	0.2796697134
203	0.2796052751
204	0.2795208771
205	0.2794526009
206	0.2794002964
207	0.2793225745
208	0.2792273469
209	0.2791022499
210	0.2790328737
211	0.2788783274
212	0.278784677
213	0.2787173919
214	0.2786671815
215	0.2785631293
216	0.2784820508
217	0.2783973477
218	0.2783208416
219	0.2782434746
220	0.2781470087
221	0.2780461689
222	0.2779648138
223	0.2778736117
224	0.2777896026
225	0.2777186324
226	0.2776220875
227	0.2775622199
228	0.2774645505
229	0.2773960215
230	0.2773280009
231	0.277263862
232	0.2771809585
233	0.2769756602
234	0.2768576354
235	0.2764842809
236	0.276402022
237	0.2763513043
238	0.27624642
239	0.2760394804
240	0.275938498
241	0.2757838434
242	0.2756680047
243	0.275564916
244	0.2754689643
245	0.2754009505
246	0.2753193216
247	0.2752618622
248	0.2751652215
249	0.275058438
250	0.2749459854
251	0.2748865717
252	0.2748139548
253	0.2747033674
254	0.2746427995
255	0.2745313913
256	0.2743925248
257	0.2743176517
258	0.2741347852
259	0.2738274175
260	0.2737814025
261	0.2737150345
262	0.2736443011
263	0.2735710745
264	0.2734820632
265	0.2733180046
266	0.2732195444
267	0.2731506028
268	0.2730725896
269	0.2730148418
270	0.2728289913
271	0.2727889362
272	0.2726822141
273	0.2724441456
274	0.2723272243
275	0.2722673786
276	0.2721146647
277	0.2720395804
278	0.271790988
279	0.2716869158
280	0.2715730875
281	0.2714808974
282	0.2714082335
283	0.2712009124
284	0.2710945757
285	0.2708170805
286	0.2707380857
287	0.2706208044
288	0.2705602556
289	0.2704072119
290	0.2703301214
291	0.2702300517
292	0.2701365066
293	0.2700761334
294	0.2700179793
295	0.2698769775
296	0.2697577278
297	0.2695770878
298	0.2694841831
299	0.2694287266
300	0.269354546
301	0.2692393362
302	0.2691663113
303	0.269095225
304	0.2690026966
305	0.2689041092
306	0.2686298669
307	0.2685456322
308	0.2684331331
309	0.2683435638
310	0.2682671741
311	0.268099922
312	0.2679889292
313	0.267904669
314	0.2678439608
315	0.2677752637
316	0.2677071738
317	0.2676148652
318	0.2675169041
319	0.2673319896
320	0.2672734077
321	0.2672148936
322	0.2671523022
323	0.2670947676
324	0.267064889
325	0.2669911143
326	0.2669168602
327	0.266846615
328	0.2667383448
329	0.2666909609
330	0.2666255326
331	0.2665608099
332	0.2664767626
333	0.266421365
334	0.2663769863
335	0.266313762
336	0.2662400999
337	0.2662063747
338	0.2661399102
339	0.2660405332
340	0.2659705146
341	0.2658792301
342	0.26580576
343	0.2656995299
