iter	Passed	Remaining
0	5	5687
1	13	6830
2	20	6969
3	28	7202
4	35	7059
5	42	6958
6	47	6789
7	53	6688
8	61	6733
9	67	6660
10	74	6667
11	81	6690
12	86	6604
13	93	6599
14	100	6582
15	106	6528
16	112	6484
17	118	6460
18	124	6426
19	129	6367
20	136	6341
21	142	6328
22	148	6306
23	154	6277
24	160	6257
25	165	6217
26	171	6187
27	176	6140
28	183	6130
29	189	6135
30	195	6123
31	201	6107
32	209	6131
33	215	6131
34	221	6116
35	227	6092
36	234	6090
37	239	6065
38	246	6069
39	252	6055
40	258	6039
41	264	6022
42	270	6012
43	276	6000
44	282	5985
45	289	5999
46	296	6012
47	302	6003
48	309	5997
49	316	6006
50	323	6017
51	329	6004
52	335	6000
53	342	6008
54	351	6031
55	359	6058
56	366	6065
57	375	6102
58	383	6121
59	390	6119
60	397	6118
61	404	6122
62	411	6113
63	416	6096
64	422	6074
65	427	6051
66	433	6033
67	438	6009
68	444	5992
69	449	5974
70	454	5949
71	459	5924
72	464	5903
73	470	5891
74	476	5878
75	482	5869
76	488	5858
77	494	5850
78	500	5837
79	506	5826
80	511	5806
81	517	5791
82	522	5776
83	528	5767
84	534	5755
85	539	5737
86	545	5723
87	551	5714
88	557	5709
89	563	5697
90	568	5683
91	574	5674
92	580	5659
93	586	5649
94	591	5637
95	597	5625
96	603	5618
97	608	5602
98	614	5593
99	620	5585
100	626	5574
101	631	5562
102	637	5551
103	643	5540
104	648	5528
105	654	5517
106	660	5513
107	666	5503
108	671	5491
109	677	5480
110	682	5465
111	687	5450
112	693	5442
113	698	5429
114	704	5419
115	710	5411
116	715	5402
117	721	5391
118	727	5382
119	732	5375
120	738	5366
121	744	5357
122	751	5355
123	757	5348
124	762	5336
125	768	5328
126	773	5317
127	778	5306
128	784	5299
129	791	5296
130	797	5292
131	805	5294
132	811	5288
133	817	5280
134	822	5271
135	828	5262
136	834	5254
137	839	5245
138	845	5235
139	850	5224
140	856	5216
141	861	5207
142	867	5200
143	873	5193
144	879	5184
145	885	5177
146	891	5171
147	897	5164
148	902	5157
149	909	5154
150	915	5146
151	921	5140
152	927	5133
153	933	5127
154	939	5119
155	945	5115
156	951	5111
157	957	5101
158	962	5092
159	968	5083
160	973	5073
161	978	5063
162	984	5056
163	990	5048
164	996	5040
165	1001	5033
166	1007	5023
167	1012	5016
168	1018	5005
169	1023	4996
170	1029	4990
171	1034	4981
172	1040	4973
173	1046	4966
174	1051	4958
175	1057	4949
176	1062	4940
177	1067	4929
178	1072	4919
179	1077	4910
180	1083	4902
181	1089	4896
182	1094	4888
183	1100	4880
184	1105	4871
185	1111	4862
186	1116	4852
187	1121	4845
188	1127	4837
189	1132	4828
190	1138	4821
191	1143	4813
192	1149	4806
193	1154	4797
194	1160	4790
195	1167	4787
196	1174	4785
197	1185	4801
198	1192	4798
199	1199	4797
200	1206	4794
201	1213	4793
202	1222	4799
203	1230	4802
204	1240	4808
205	1247	4808
206	1255	4808
207	1262	4808
208	1269	4805
209	1276	4802
210	1283	4798
211	1289	4793
212	1296	4788
213	1302	4782
214	1308	4778
215	1315	4775
216	1322	4772
217	1328	4766
218	1334	4760
219	1340	4752
220	1346	4745
221	1352	4738
222	1357	4730
223	1363	4724
224	1369	4715
225	1375	4709
226	1381	4702
227	1386	4695
228	1392	4689
229	1398	4681
230	1403	4673
231	1409	4664
232	1415	4658
233	1420	4650
234	1426	4642
235	1433	4639
236	1438	4631
237	1444	4624
238	1449	4616
239	1456	4610
240	1462	4605
241	1469	4601
242	1475	4595
243	1481	4591
244	1488	4588
245	1496	4586
246	1502	4579
247	1508	4574
248	1515	4570
249	1522	4568
250	1529	4564
251	1535	4557
252	1541	4552
253	1547	4546
254	1554	4540
255	1560	4534
256	1566	4528
257	1572	4522
258	1578	4516
259	1585	4513
260	1591	4507
261	1597	4500
262	1603	4494
263	1609	4487
264	1615	4481
265	1622	4476
266	1628	4469
267	1633	4462
268	1639	4454
269	1644	4446
270	1649	4438
271	1656	4433
272	1663	4428
273	1670	4425
274	1676	4420
275	1684	4417
276	1690	4413
277	1696	4405
278	1702	4400
279	1710	4397
280	1716	4392
281	1722	4385
282	1727	4376
283	1732	4368
284	1738	4362
285	1744	4354
286	1750	4349
287	1756	4342
288	1761	4333
289	1766	4325
290	1772	4318
291	1778	4311
292	1783	4304
293	1789	4296
294	1794	4289
295	1800	4281
296	1805	4274
297	1810	4265
298	1816	4259
299	1821	4251
300	1827	4242
301	1833	4237
302	1839	4231
303	1845	4225
304	1850	4217
305	1856	4210
306	1861	4202
307	1867	4195
308	1872	4187
309	1879	4183
310	1886	4178
311	1893	4175
312	1901	4172
313	1907	4167
314	1913	4161
315	1919	4154
316	1924	4145
317	1928	4136
318	1933	4127
319	1938	4119
320	1943	4111
321	1948	4102
322	1953	4093
323	1958	4085
324	1963	4077
325	1968	4069
326	1973	4061
327	1978	4054
328	1984	4046
329	1989	4038
330	1994	4030
331	1999	4023
332	2004	4015
333	2010	4009
334	2016	4002
335	2022	3995
336	2027	3988
337	2032	3981
338	2038	3974
339	2044	3968
340	2049	3961
341	2054	3953
342	2059	3945
343	2064	3937
344	2069	3929
345	2075	3922
346	2080	3914
347	2085	3907
348	2091	3900
349	2096	3892
350	2101	3885
351	2106	3878
352	2112	3872
353	2118	3865
354	2124	3859
355	2129	3852
356	2135	3846
357	2141	3840
358	2146	3833
359	2152	3827
360	2158	3820
361	2163	3813
362	2169	3806
363	2174	3799
364	2179	3792
365	2185	3786
366	2191	3779
367	2196	3772
368	2202	3766
369	2207	3759
370	2212	3751
371	2218	3744
372	2223	3737
373	2229	3730
374	2234	3723
375	2239	3717
376	2245	3710
377	2250	3703
378	2256	3696
379	2261	3689
380	2266	3681
381	2271	3674
382	2275	3666
383	2281	3660
384	2287	3653
385	2293	3647
386	2298	3640
387	2303	3633
388	2309	3626
389	2314	3619
390	2319	3612
391	2324	3605
392	2329	3597
393	2334	3590
394	2339	3583
395	2345	3576
396	2350	3569
397	2355	3563
398	2361	3557
399	2366	3550
400	2373	3545
401	2382	3544
402	2390	3541
403	2398	3537
404	2404	3532
405	2411	3528
406	2417	3522
407	2424	3518
408	2432	3514
409	2440	3512
410	2447	3507
411	2454	3503
412	2461	3499
413	2468	3493
414	2474	3487
415	2480	3481
416	2485	3475
417	2492	3470
418	2499	3465
419	2505	3459
420	2511	3454
421	2518	3449
422	2523	3442
423	2529	3436
424	2535	3430
425	2542	3425
