iter	Passed	Remaining
0	1	1276
1	2	1347
2	4	1341
3	5	1288
4	6	1232
5	7	1242
6	8	1244
7	9	1221
8	10	1206
9	11	1125
10	12	1122
11	13	1130
12	15	1140
13	16	1145
14	17	1151
15	18	1153
16	19	1148
17	21	1149
18	22	1160
19	23	1157
20	24	1156
21	26	1164
22	27	1166
23	28	1169
24	30	1176
25	31	1191
26	33	1197
27	34	1211
28	36	1229
29	38	1246
30	40	1270
31	42	1282
32	44	1313
33	46	1318
34	48	1347
35	51	1371
36	53	1400
37	56	1432
38	59	1457
39	62	1494
40	65	1532
41	67	1537
42	69	1555
43	72	1584
44	75	1606
45	78	1622
46	81	1644
47	83	1661
48	86	1669
49	87	1668
50	89	1669
51	91	1670
52	93	1670
53	95	1674
54	97	1667
55	98	1660
56	100	1654
57	101	1647
58	103	1644
59	104	1635
60	105	1626
61	107	1619
62	108	1609
63	109	1600
64	110	1588
65	111	1577
66	112	1569
67	113	1557
68	114	1548
69	115	1537
70	116	1528
71	117	1518
72	118	1508
73	119	1499
74	120	1491
75	122	1484
76	123	1475
77	124	1466
78	125	1458
79	126	1452
80	127	1445
81	128	1440
82	129	1433
83	131	1429
84	132	1423
85	133	1416
86	134	1412
87	135	1406
88	136	1401
89	138	1398
90	139	1393
91	140	1388
92	142	1385
93	143	1380
94	144	1377
95	145	1372
96	147	1370
97	148	1365
98	149	1361
99	150	1358
100	152	1356
101	153	1352
102	154	1349
103	156	1345
104	157	1342
105	158	1340
106	160	1336
107	161	1333
108	162	1331
109	164	1329
110	165	1328
111	167	1325
112	168	1323
113	169	1320
114	171	1317
115	172	1315
116	173	1312
117	175	1310
118	176	1307
119	177	1305
120	179	1303
121	180	1301
122	182	1298
123	183	1296
124	184	1294
125	186	1292
126	187	1291
127	189	1289
128	190	1286
129	191	1284
130	193	1282
131	194	1280
132	196	1277
133	197	1276
134	198	1273
135	200	1271
136	201	1270
137	203	1268
138	204	1266
139	205	1264
140	207	1264
141	208	1262
142	210	1260
143	211	1259
144	213	1257
145	214	1256
146	216	1255
147	217	1253
148	219	1251
149	220	1249
150	222	1248
151	223	1247
152	225	1245
153	226	1244
154	228	1243
155	229	1241
156	231	1240
157	232	1240
158	234	1238
159	235	1237
160	237	1235
161	238	1233
162	240	1232
163	241	1230
164	242	1229
165	244	1226
166	245	1225
167	247	1223
168	248	1221
169	250	1220
170	251	1219
171	252	1217
172	254	1216
173	255	1215
174	257	1212
175	258	1211
176	260	1209
177	261	1208
178	263	1206
179	264	1205
180	266	1203
181	267	1202
182	268	1200
183	270	1199
184	271	1197
185	273	1196
186	274	1194
187	276	1193
188	277	1192
189	279	1191
190	280	1189
191	282	1187
192	283	1186
193	285	1185
194	287	1185
195	288	1183
196	289	1181
197	291	1179
198	292	1178
199	294	1176
200	295	1175
201	297	1174
202	298	1173
203	300	1172
204	301	1171
205	303	1170
206	305	1168
207	306	1167
208	308	1166
209	309	1165
210	311	1164
211	312	1162
212	314	1161
213	315	1160
214	317	1158
215	318	1157
216	320	1155
217	321	1154
218	323	1152
219	324	1151
220	326	1149
221	327	1148
222	329	1147
223	330	1146
224	332	1144
225	334	1143
226	335	1142
227	337	1141
228	338	1140
229	340	1138
230	341	1137
231	343	1135
232	344	1134
233	345	1132
234	347	1130
235	349	1130
236	350	1129
237	352	1127
238	353	1126
239	355	1124
240	356	1122
241	358	1121
242	359	1119
243	361	1118
244	362	1117
245	364	1115
246	365	1114
247	366	1112
248	368	1111
249	369	1109
250	371	1108
251	373	1107
252	374	1106
253	376	1105
254	377	1103
255	379	1102
256	381	1101
257	382	1100
258	384	1099
259	385	1097
260	387	1096
261	388	1094
262	389	1092
263	391	1091
264	393	1090
265	394	1088
266	395	1086
267	397	1085
268	398	1083
269	400	1082
270	401	1080
271	403	1079
272	404	1077
273	406	1076
274	407	1074
275	409	1073
276	410	1071
277	412	1070
278	413	1068
279	415	1067
280	416	1065
281	417	1064
282	419	1062
283	420	1060
284	422	1059
285	423	1058
286	425	1057
287	427	1055
288	428	1054
289	429	1052
290	431	1051
291	432	1049
292	434	1047
293	435	1046
294	437	1044
295	438	1042
296	439	1041
297	441	1039
298	442	1038
299	444	1036
300	445	1035
301	447	1033
302	448	1032
303	450	1030
304	451	1029
305	453	1027
306	454	1025
307	455	1024
308	457	1022
309	458	1021
310	460	1020
311	461	1018
312	463	1016
313	464	1015
314	466	1014
315	467	1012
316	469	1010
317	470	1009
318	472	1007
319	473	1006
320	475	1004
321	476	1003
322	478	1002
323	479	1000
324	481	999
325	482	997
326	484	996
327	485	995
328	487	993
329	488	992
330	490	991
331	491	989
332	493	988
333	495	987
334	496	985
335	498	984
336	499	982
337	501	981
338	502	980
339	504	978
340	505	977
341	507	976
342	509	975
343	510	973
344	512	972
345	513	971
346	515	969
347	516	968
348	518	967
349	520	966
350	521	964
351	523	963
352	524	961
353	526	960
354	528	959
355	529	957
356	531	956
357	532	955
358	534	953
359	535	952
360	537	951
361	538	949
362	540	948
363	542	947
364	543	945
365	545	944
366	546	942
367	548	941
368	549	939
369	551	938
370	553	938
371	554	936
372	556	935
373	557	933
374	559	932
375	561	931
376	562	930
377	564	928
378	566	927
379	567	925
380	569	924
381	570	923
382	572	921
383	573	920
384	575	918
385	576	917
386	578	916
387	579	914
388	581	913
389	583	912
390	584	911
391	586	909
392	588	908
393	589	907
394	591	905
395	592	904
396	594	903
397	596	901
398	597	900
399	599	899
400	600	897
401	602	896
402	603	894
403	605	893
404	606	891
405	608	890
406	609	888
407	611	887
408	613	886
409	614	884
410	616	883
411	618	882
412	619	881
413	621	879
414	623	878
415	624	876
416	626	875
417	627	874
418	629	872
419	630	871
420	632	869
421	633	868
422	635	866
423	637	865
424	639	864
425	641	864
426	643	862
427	644	861
428	646	860
429	648	859
430	649	857
431	651	856
432	652	854
433	654	853
434	655	851
435	657	850
436	658	848
437	660	847
438	662	846
439	663	844
440	665	843
441	666	841
442	667	839
443	669	838
444	670	836
445	672	835
446	673	833
447	675	832
448	677	830
449	678	829
450	679	827
451	681	826
452	683	825
453	684	823
454	686	822
455	688	820
456	689	819
457	691	818
458	693	816
459	694	815
460	696	813
461	697	812
462	699	811
463	701	810
464	702	808
465	704	807
466	705	805
467	707	804
468	709	802
469	710	801
470	712	799
471	713	798
472	715	796
473	716	795
474	718	793
475	719	792
476	721	791
477	723	789
478	724	788
479	726	787
480	728	785
481	729	783
482	731	782
483	732	780
484	733	779
485	735	777
486	737	776
487	738	774
488	740	773
489	741	772
490	743	770
491	744	769
492	746	767
493	748	766
494	749	765
495	751	763
496	753	762
497	754	761
498	756	759
499	758	758
500	759	756
501	761	755
502	762	753
503	764	752
504	766	750
505	767	749
506	769	747
507	770	746
508	772	745
509	774	743
510	775	742
511	777	740
512	779	739
513	780	738
514	782	736
515	783	735
516	785	733
517	786	731
518	788	730
519	789	728
520	791	727
521	792	725
522	794	724
523	796	723
524	797	721
525	799	720
526	800	718
527	802	717
528	803	715
529	805	714
530	807	712
531	808	711
532	810	710
533	811	708
534	813	706
535	814	705
536	816	703
537	817	702
538	819	700
539	821	699
540	822	698
541	824	696
542	825	694
543	826	693
544	828	691
545	829	689
546	831	688
547	832	686
548	834	685
549	836	684
550	837	682
551	839	681
552	840	679
553	842	678
554	844	676
555	845	675
556	847	673
557	848	672
558	850	670
559	851	669
560	853	667
561	855	666
562	856	664
563	858	663
564	860	662
565	861	660
566	863	659
567	864	657
568	866	656
569	867	654
570	869	653
571	871	651
572	872	650
573	874	648
574	875	647
575	877	645
576	878	644
577	880	642
578	882	641
579	883	639
580	884	638
581	886	636
582	887	635
583	889	633
584	890	632
585	892	630
586	893	628
587	895	627
588	897	625
589	898	624
590	899	622
591	901	621
592	903	619
593	904	618
594	906	617
595	908	615
596	909	614
597	911	612
598	913	611
599	914	609
600	916	608
601	917	606
602	919	605
603	920	603
604	922	602
605	924	600
606	925	599
607	926	597
608	928	596
609	929	594
610	931	593
611	932	591
612	934	589
613	936	588
614	937	586
615	939	585
616	940	583
617	942	582
618	943	580
619	945	579
620	946	577
621	948	576
622	949	574
623	951	573
624	952	571
625	954	570
626	955	568
627	956	566
628	958	565
629	959	563
630	961	562
631	962	560
632	964	559
633	966	557
634	967	556
635	968	554
636	970	552
637	971	551
638	973	549
639	974	548
640	976	546
641	977	545
642	979	543
643	980	542
644	982	540
645	983	539
646	985	537
647	986	535
648	988	534
649	989	532
650	991	531
651	992	529
652	994	528
653	995	526
654	997	525
655	998	523
656	999	522
657	1001	520
658	1002	518
659	1004	517
660	1005	515
661	1007	514
662	1008	512
663	1010	511
664	1011	509
665	1013	508
666	1014	506
667	1016	505
668	1017	503
669	1019	502
670	1020	500
671	1022	499
672	1023	497
673	1025	495
674	1027	494
675	1028	492
676	1030	491
677	1031	489
678	1032	488
679	1034	486
680	1036	485
681	1037	483
682	1039	482
683	1040	480
684	1042	479
685	1043	477
686	1045	476
687	1046	474
688	1047	473
689	1049	471
690	1050	469
691	1052	468
692	1053	466
693	1055	465
694	1056	463
695	1058	462
696	1059	460
697	1060	459
698	1062	457
699	1063	455
700	1065	454
701	1066	452
702	1068	451
703	1069	449
704	1071	448
705	1072	446
706	1073	445
707	1075	443
708	1077	442
709	1078	440
710	1079	438
711	1081	437
712	1083	435
713	1084	434
714	1086	432
715	1087	431
716	1089	429
717	1090	428
718	1091	426
719	1093	425
720	1094	423
721	1096	422
722	1097	420
723	1099	419
724	1100	417
725	1102	416
726	1103	414
727	1105	412
728	1106	411
729	1108	409
730	1109	408
731	1110	406
732	1112	405
733	1113	403
734	1115	402
735	1116	400
736	1117	398
737	1119	397
738	1120	395
739	1122	394
740	1123	392
741	1125	391
742	1126	389
743	1128	388
744	1129	386
745	1131	385
746	1132	383
747	1134	382
748	1135	380
749	1137	379
750	1138	377
751	1140	376
752	1141	374
753	1143	373
754	1145	371
755	1146	370
756	1148	368
757	1149	366
758	1151	365
759	1152	364
760	1154	362
761	1155	361
762	1157	359
763	1158	357
764	1160	356
765	1161	354
766	1163	353
767	1164	351
768	1166	350
769	1167	348
770	1168	347
771	1170	345
772	1171	344
773	1173	342
774	1174	341
775	1176	339
776	1177	337
777	1179	336
778	1180	334
779	1182	333
780	1183	331
781	1184	330
782	1186	328
783	1187	327
784	1189	325
785	1190	324
786	1192	322
787	1193	321
