iter	Logloss
0	0.6795728916
1	0.6664521803
2	0.6541380749
3	0.6423905641
4	0.6313131723
5	0.6192071298
6	0.6089083074
7	0.5997774118
8	0.5907070443
9	0.5824628428
10	0.5736743961
11	0.5651216501
12	0.5573313908
13	0.5499604449
14	0.5428839166
15	0.5357903636
16	0.5295251863
17	0.5243491153
18	0.518124942
19	0.5132206857
20	0.5080078125
21	0.5026972468
22	0.4978088198
23	0.4935337508
24	0.4886973033
25	0.4850893106
26	0.4808573828
27	0.4769016164
28	0.4729139017
29	0.4695999281
30	0.4658261443
31	0.4626172165
32	0.4592768366
33	0.456347946
34	0.4531578902
35	0.4505865171
36	0.4477492698
37	0.444853704
38	0.4423103672
39	0.4400384467
40	0.4379272823
41	0.4356498198
42	0.4333634826
43	0.4307498739
44	0.4290615003
45	0.426113629
46	0.42425845
47	0.4225020502
48	0.4207643413
49	0.419346913
50	0.4176485418
51	0.4160639822
52	0.4141839908
53	0.4128864956
54	0.4116045762
55	0.4100105625
56	0.4086964774
57	0.4074146305
58	0.4061911744
59	0.4049186729
60	0.4036287845
61	0.4024831347
62	0.4013897904
63	0.4003363635
64	0.3993725151
65	0.3985181316
66	0.3974654291
67	0.3965082457
68	0.3953789323
69	0.3944782563
70	0.3936011974
71	0.3929552752
72	0.3918288958
73	0.3907429772
74	0.38970806
75	0.3886667314
76	0.3879390909
77	0.3872136962
78	0.386514889
79	0.3855767949
80	0.3850217191
81	0.384386881
82	0.3838198155
83	0.3831633163
84	0.3824497664
85	0.3818512959
86	0.3811043125
87	0.3804213346
88	0.3797276347
89	0.3789753628
90	0.3783413941
91	0.3777010139
92	0.3771956718
93	0.3766022725
94	0.3760871502
95	0.3754027234
96	0.3746813856
97	0.3743048512
98	0.3738344277
99	0.3732007488
100	0.3724074729
101	0.371823093
102	0.3712359601
103	0.3705442163
104	0.3700311225
105	0.3695819979
106	0.3690891888
107	0.3683866869
108	0.3679382505
109	0.3673981347
110	0.3668810564
111	0.366489055
112	0.3659993248
113	0.3654382723
114	0.3647829684
115	0.3641955096
116	0.3635111913
117	0.3630396812
118	0.3625764298
119	0.3621039416
120	0.3615422008
121	0.3612281143
122	0.3607211059
123	0.3602182632
124	0.3598504222
125	0.3594614272
126	0.359102171
127	0.3586992303
128	0.3583700752
129	0.3579754295
130	0.3574767161
131	0.357034184
132	0.3567031453
133	0.356293757
134	0.3557974343
135	0.3553245114
136	0.3549976383
137	0.3545390596
138	0.3541891489
139	0.3537790361
140	0.3533352362
141	0.3529111415
142	0.3526354872
143	0.3523244796
144	0.3519024133
145	0.351567861
146	0.3511176135
147	0.3508358375
148	0.3503986302
149	0.3500459303
150	0.3495660527
151	0.3491335181
152	0.348516248
153	0.3481682933
154	0.3478120798
155	0.3475275147
156	0.3471639118
157	0.3468212818
158	0.3463565815
159	0.3460836439
160	0.3457284084
161	0.3454531525
162	0.3451834749
163	0.344883805
164	0.34453451
165	0.3439692194
166	0.3437627504
167	0.343393207
168	0.343014463
169	0.3427845216
170	0.3427017891
171	0.3425140834
172	0.3419762495
173	0.3416409727
174	0.3412691835
175	0.3407762658
176	0.3403201502
177	0.3400393885
178	0.3397941612
179	0.3395634592
180	0.3391143708
181	0.3388417592
182	0.3384877915
183	0.3382828438
184	0.3380286695
185	0.3376629295
186	0.3373785817
187	0.3370301923
188	0.336645218
189	0.3363671006
190	0.3361765695
191	0.3359003718
192	0.335680283
193	0.3353676816
194	0.3350383815
195	0.3347379871
196	0.3344760612
197	0.3342870876
198	0.3338982013
199	0.3335170667
