iter	RMSE
0	2.37552504
1	2.289130754
2	2.206655577
3	2.127175033
4	2.055131024
5	1.985175871
6	1.919967502
7	1.857676545
8	1.801258146
9	1.749863595
10	1.698845247
11	1.652472502
12	1.608120741
13	1.566714642
14	1.529088853
15	1.491885954
16	1.45778194
17	1.426162069
18	1.39334808
19	1.364175476
20	1.338604489
21	1.311888028
22	1.288008865
23	1.266926841
24	1.247082024
25	1.225882717
26	1.208912892
27	1.191898018
28	1.176282144
29	1.159965264
30	1.145050149
31	1.130865004
32	1.11704467
33	1.104526591
34	1.093966635
35	1.084466758
36	1.075340961
37	1.063501661
38	1.054552363
39	1.046141167
40	1.036792904
41	1.028452352
42	1.021690398
43	1.015205554
44	1.006966274
45	1.001263052
46	0.9954973386
47	0.9903780682
48	0.9848491191
49	0.9797719233
50	0.9749730082
51	0.9705833424
52	0.9664529824
53	0.9621525615
54	0.9563818196
55	0.952186202
56	0.9465076531
57	0.9429976111
58	0.9370137634
59	0.9316503547
60	0.9266876264
61	0.9225128817
62	0.9170579834
63	0.9134936024
64	0.9090357985
65	0.906376342
66	0.9030166053
67	0.8994190593
68	0.8964118131
69	0.8930199634
70	0.8896591246
71	0.8861316722
72	0.8803660833
73	0.8777137527
74	0.8719920301
75	0.8689087781
76	0.8650932289
77	0.8635997235
78	0.8606856368
79	0.8577443703
80	0.8548724984
81	0.8528315001
82	0.8512452783
83	0.8482854392
84	0.846402185
85	0.8438365084
86	0.8424616639
87	0.8399881622
88	0.8377641154
89	0.8353663839
90	0.8318261009
91	0.8297145466
92	0.8283784118
93	0.8267684876
94	0.8250902572
95	0.8220651349
96	0.8179381117
97	0.8162793589
98	0.8137458665
99	0.8121313321
100	0.810409974
101	0.8084378358
102	0.806564969
103	0.8052946334
104	0.8026848508
105	0.8018717462
106	0.7999227975
107	0.7975445506
108	0.7959244957
109	0.7942823811
110	0.7922838316
111	0.7912677217
112	0.7889037625
113	0.7863650776
114	0.7843520497
115	0.7823741612
116	0.7811798171
117	0.7801305069
118	0.7787079942
119	0.7769820975
120	0.7750434959
121	0.7720889075
122	0.7706919694
123	0.7690573601
124	0.7667524398
125	0.7652455353
126	0.7637530536
127	0.762880725
128	0.7601475457
129	0.7587155611
130	0.7557833978
131	0.7528453325
132	0.7519101335
133	0.7488616503
134	0.7471128587
135	0.744818579
136	0.7426822606
137	0.7401974404
138	0.7384832868
139	0.7374818328
140	0.7358477648
141	0.7347701729
142	0.7328473499
143	0.7307400385
144	0.7298857346
145	0.7289002996
146	0.7270768815
147	0.7261364786
148	0.7252985361
149	0.7242249898
150	0.7228606409
151	0.7210266458
152	0.7199166663
153	0.7192520668
154	0.7183083002
155	0.7176180624
156	0.7162443069
157	0.7151882832
158	0.7138676774
159	0.7124568567
160	0.7107392772
161	0.7080685803
162	0.7059211547
163	0.7036651386
164	0.7029894833
165	0.7016961811
166	0.7006043544
167	0.698645466
168	0.6966777734
169	0.6955102629
170	0.6941318646
171	0.6926462955
172	0.6919551948
173	0.6904419938
174	0.6894000288
175	0.6882729115
176	0.6866564376
177	0.6852400995
178	0.6845972768
179	0.6838577957
180	0.6819246206
181	0.6807294251
182	0.67963141
183	0.6786229813
184	0.6774005605
185	0.676446344
186	0.6748995614
187	0.673777728
188	0.6729200109
189	0.6720492566
190	0.6702758415
191	0.6684267389
192	0.6675817438
193	0.6666465345
194	0.6657445381
195	0.6646862098
196	0.6630409086
197	0.6617591903
198	0.6606704011
199	0.6591562415
200	0.658209222
201	0.6569378466
202	0.6560448899
203	0.655442082
204	0.6541377053
205	0.6533916854
206	0.6524414211
207	0.65158446
208	0.6510469682
209	0.6505441422
210	0.6496129443
211	0.6488540255
212	0.6481422844
213	0.6470788515
214	0.645792079
215	0.6446649876
216	0.6435681821
217	0.6427766116
218	0.6413955173
219	0.6405058045
220	0.6392266819
221	0.6385464559
222	0.63716719
223	0.6360373516
224	0.6348393617
225	0.6330441783
226	0.6326971076
227	0.6314859918
228	0.6309601328
229	0.6293762379
230	0.6282235999
231	0.627483692
232	0.6258894466
233	0.6249369811
234	0.624403889
235	0.6237039254
236	0.6229970319
237	0.6222682127
238	0.6218503287
239	0.6206502926
240	0.6197009912
241	0.6184658252
242	0.6173943355
243	0.6167231862
244	0.6158960614
245	0.6149017975
246	0.6138092316
247	0.612702118
248	0.6119077991
249	0.6109632458
250	0.6098297191
251	0.6089824673
252	0.607976497
253	0.606794712
254	0.6059808782
255	0.6051427085
256	0.6044146897
257	0.6040940856
258	0.6027726836
259	0.6021184671
260	0.6012549881
261	0.6006761292
262	0.6000209365
263	0.5988414386
264	0.598369406
265	0.5976447925
266	0.5968725085
267	0.5961070308
268	0.5954858842
269	0.5949089818
270	0.594051219
271	0.5929375976
272	0.5925497743
273	0.5917698507
274	0.5908010551
275	0.5899570325
276	0.5893472235
277	0.5884179334
278	0.5873982174
279	0.586730424
280	0.585735607
281	0.5849738859
282	0.5841663026
283	0.5833932776
284	0.5827637951
285	0.5822080007
286	0.5810890916
287	0.5800839826
288	0.5793439166
289	0.5789398957
290	0.5782774978
291	0.5773647929
292	0.5763508732
293	0.5757292471
294	0.5748379091
295	0.5742747967
296	0.5736397526
297	0.5731158297
298	0.5719806732
299	0.5706592998
300	0.5698159025
301	0.569011643
302	0.5683591815
303	0.5677154369
304	0.5667981676
305	0.5664528665
306	0.5659884366
307	0.5650271359
308	0.5642578146
309	0.563484937
310	0.5625630382
311	0.562027685
312	0.5612040707
313	0.5604404383
314	0.5596417325
315	0.5591384875
316	0.5586001908
317	0.5578418438
318	0.5569237308
319	0.556181292
320	0.555501822
321	0.5548889565
322	0.5540905508
323	0.5537382315
324	0.5534154775
325	0.5525660513
326	0.5518088676
327	0.5513792303
328	0.5507711301
329	0.5495636149
330	0.5493181292
331	0.5485457552
332	0.5473672959
333	0.5467158586
334	0.5460006146
335	0.5453532677
336	0.5447390048
337	0.5442304628
338	0.5436454056
339	0.5429175379
340	0.5421561132
341	0.5413592063
342	0.5406122226
343	0.5399056918
344	0.53927414
345	0.5386404296
346	0.5381273424
347	0.5375243857
348	0.5371334862
349	0.5366060721
350	0.5358847301
351	0.5354276072
352	0.5349038605
353	0.5344078896
354	0.5338323446
355	0.5335085843
356	0.5322000813
357	0.5315928454
358	0.5311257584
359	0.5307608685
360	0.5303327287
361	0.5299129657
362	0.5292695396
363	0.5289814959
364	0.5283631281
365	0.5278527648
366	0.5272039046
367	0.5266927848
368	0.5261387273
369	0.525686445
370	0.525010679
371	0.5245414995
372	0.5240956625
373	0.5238185786
374	0.5232548635
375	0.5226021444
376	0.5221454508
377	0.5216096207
378	0.5212028851
379	0.520875732
380	0.5202077946
381	0.5197836614
382	0.5192915479
383	0.5190868057
384	0.5183498294
385	0.5175838779
386	0.5170998008
387	0.5167513039
388	0.5161745829
389	0.5157732718
390	0.5152770738
391	0.514573595
392	0.5136655891
393	0.5130303109
394	0.5126432515
395	0.512260935
396	0.5118143007
397	0.5111268054
398	0.5105050273
399	0.509596958
400	0.5089321532
401	0.5085582346
402	0.5082919234
403	0.5080063552
404	0.507038528
405	0.5065828945
406	0.5064023948
407	0.5061419491
408	0.5054408994
409	0.5049885589
410	0.5044681549
411	0.5041446107
412	0.5036332374
413	0.5033243577
414	0.50250253
415	0.5020692409
416	0.50158294
417	0.5011581368
418	0.5003471955
419	0.4995683493
420	0.4991741472
421	0.4987200085
422	0.4981130103
423	0.4974195587
424	0.4968998635
425	0.4965340829
426	0.4960061511
427	0.4956025428
428	0.4952391585
429	0.4946017418
430	0.494212419
431	0.4938050219
432	0.4930742454
433	0.4926150046
434	0.4922223246
435	0.4915547187
436	0.4913426741
437	0.4903687457
438	0.4894286364
439	0.4891600009
440	0.4889588355
441	0.4883141331
442	0.4880102637
443	0.4877802129
444	0.4873460011
445	0.4869780197
446	0.4864373118
447	0.4861996337
448	0.4856481778
449	0.4851759013
450	0.484681326
451	0.4838871877
452	0.4833769142
453	0.4831799736
454	0.4826880177
455	0.481784611
456	0.4811466442
457	0.4807622999
458	0.4800685109
459	0.4796343251
460	0.479233306
461	0.4784977064
462	0.4779684867
463	0.4776762502
464	0.4771159543
465	0.4767814774
466	0.4765240348
467	0.4759631554
468	0.4755769442
469	0.4751374282
470	0.4744172627
471	0.4736650569
472	0.4729787705
473	0.4725749895
474	0.4723245436
475	0.4718295357
476	0.4713484828
477	0.4710999957
478	0.4704684224
479	0.4701590175
480	0.4695970147
481	0.469195669
482	0.4687741325
483	0.4685704484
484	0.4681010037
485	0.467813057
486	0.4673744386
487	0.4668868291
488	0.4662900317
489	0.4659742134
490	0.4655086721
491	0.4650696016
492	0.4644785198
493	0.4641634701
494	0.4634947829
495	0.4629717315
496	0.4624080849
497	0.4621919841
498	0.4617854078
499	0.4614077478
500	0.4610510591
501	0.46074294
502	0.460231206
503	0.4596224045
504	0.4590983864
505	0.4586945081
506	0.4581322043
507	0.4577022882
508	0.4571476907
509	0.4567677361
510	0.456270735
511	0.4559994765
512	0.4556050314
513	0.4550923878
514	0.4547046046
515	0.4542156328
516	0.4540097014
517	0.4534491242
518	0.4528204743
519	0.4525922219
520	0.4519346986
521	0.4515850307
522	0.4512890306
523	0.4507564518
524	0.4502027544
525	0.4496896078
526	0.4489705722
527	0.4483447137
528	0.4478833654
529	0.4472140207
530	0.4470319994
531	0.4466319027
532	0.4462917992
533	0.4457860742
534	0.4452579408
535	0.444654475
536	0.444411506
537	0.4438989552
538	0.4436067361
539	0.4432378522
540	0.4427325691
541	0.4425063484
542	0.4417724872
543	0.4414045587
544	0.4411072524
545	0.4408146502
546	0.4403600439
547	0.4402140224
548	0.4400549575
549	0.4396758617
550	0.4395293066
551	0.4391656614
552	0.4389908206
553	0.4386758476
554	0.4383108147
555	0.4379821409
556	0.4377211846
557	0.4374708072
558	0.4372299164
559	0.4368341625
560	0.436403841
561	0.4359900254
562	0.4354791524
563	0.4349218929
564	0.4345008716
565	0.4342884871
566	0.4339833101
567	0.4337494963
568	0.4333871199
569	0.4328932607
570	0.4325835704
571	0.4321962313
572	0.4316373583
573	0.4312911292
574	0.4307538359
575	0.4304749804
576	0.430123847
577	0.429753209
578	0.4294920271
579	0.4291104441
580	0.4289114588
581	0.4286458511
582	0.4282548582
583	0.4279951612
584	0.427633981
585	0.4273863977
586	0.4269651255
587	0.4265046629
588	0.4263905214
589	0.4259353703
590	0.4254520264
591	0.4252178018
592	0.4246746482
593	0.4242896925
594	0.4240586493
595	0.4237028503
596	0.4235345855
597	0.4231164358
598	0.4228114502
599	0.4226535148
600	0.4221961013
601	0.4219428501
602	0.4217931486
603	0.4213524049
604	0.4209919843
605	0.4206146153
606	0.4203210114
607	0.4198460726
608	0.4193634925
609	0.4189566065
610	0.4185956858
611	0.4180232442
612	0.4178012804
613	0.4174530042
614	0.4168419624
615	0.4164726198
616	0.4163030924
617	0.4159406634
618	0.4156592944
619	0.4154502237
620	0.415217668
621	0.4148468062
622	0.4146852992
623	0.4143669353
624	0.4139508983
625	0.4138051337
626	0.4132956846
627	0.4128601261
628	0.4126037322
629	0.4122732347
630	0.4119382533
631	0.4115801831
632	0.4111776877
633	0.411073825
634	0.4108279447
635	0.4105075361
636	0.410215475
637	0.4098871618
638	0.4096256557
639	0.4090149784
640	0.4086659558
641	0.4084529245
642	0.4082230147
643	0.4076402844
644	0.4072236039
645	0.4068590801
646	0.4066289561
647	0.4063792453
648	0.405932854
649	0.4056046531
650	0.4050867408
651	0.4048479175
652	0.4044082331
653	0.4042048868
654	0.4039032377
655	0.4035214499
656	0.4033457303
657	0.4030708915
658	0.4026120296
659	0.4023466418
660	0.4019993285
661	0.4017360869
662	0.4013195721
663	0.4009421966
664	0.4007057051
665	0.4004876969
666	0.400044733
667	0.3997816052
668	0.3994047301
669	0.3988427451
670	0.3985224144
671	0.3983069279
672	0.3980853073
673	0.3978637265
674	0.3975479618
675	0.3972216457
676	0.3969924707
677	0.3966733888
678	0.3964987058
679	0.3959168898
680	0.3955405568
681	0.3952969472
682	0.39508886
683	0.3947613755
684	0.3944276731
685	0.3942292222
686	0.3939957745
687	0.3935516048
688	0.3933006287
689	0.3931601303
690	0.3927981051
691	0.3924613437
692	0.3922626002
693	0.3919293643
694	0.3916701486
695	0.3914152884
696	0.3909992801
697	0.3907442149
698	0.3905095785
699	0.3902861783
700	0.3899607801
701	0.3898513305
702	0.3895815717
703	0.3893366956
704	0.3890602653
705	0.3886606416
706	0.3884270463
707	0.3880526205
708	0.3878410719
709	0.3877455118
710	0.3874353454
711	0.3872212483
712	0.3870160976
713	0.3867189899
714	0.3862366991
715	0.3860772738
716	0.3857242262
717	0.3854455962
718	0.385170416
719	0.3848119912
720	0.3843484944
721	0.3842271507
722	0.3838757748
723	0.3836241723
724	0.3834021277
725	0.3831904908
726	0.3828482464
727	0.3825874445
728	0.3822340711
729	0.3817423476
730	0.3813764331
731	0.3809429162
732	0.3806256342
733	0.380395374
734	0.3801045294
735	0.3798152077
736	0.3795571449
737	0.3791490781
738	0.3789312252
739	0.378527729
740	0.3782849083
741	0.3781026662
742	0.3778436573
743	0.3775650029
744	0.3773738285
745	0.3770966026
746	0.3767990134
747	0.3765325966
748	0.3762278241
749	0.3760908716
750	0.3755946552
751	0.3754675492
752	0.3751541941
753	0.3748188708
754	0.3746261248
755	0.3744416169
756	0.3742246403
757	0.3739468511
758	0.3735485918
759	0.3732598122
760	0.3729967014
761	0.3728940931
762	0.3725816589
763	0.3723496777
764	0.3721693319
765	0.3719198112
766	0.3716874242
767	0.371400807
768	0.3711902565
769	0.3708475679
770	0.3705712793
