iter	Passed	Remaining
0	2	2258
1	4	2110
2	5	1988
3	8	2085
4	10	2039
5	12	1995
6	13	1941
7	15	1946
8	17	1907
9	19	1896
10	20	1873
11	22	1849
12	24	1837
13	25	1828
14	27	1810
15	29	1797
16	30	1786
17	32	1782
18	34	1778
19	36	1785
20	38	1779
21	39	1772
22	41	1764
23	43	1763
24	45	1755
25	46	1750
26	48	1747
27	50	1747
28	52	1741
29	53	1737
30	55	1736
31	57	1731
32	59	1733
33	60	1727
34	62	1723
35	64	1720
36	65	1715
37	67	1711
38	69	1705
39	70	1703
40	72	1700
41	74	1698
42	76	1693
43	78	1696
44	80	1698
45	82	1701
46	83	1700
47	85	1704
48	87	1701
49	89	1698
50	91	1695
51	92	1690
52	94	1692
53	96	1693
54	98	1690
55	100	1686
56	101	1682
57	103	1678
58	105	1680
59	107	1677
60	109	1685
61	111	1687
62	113	1688
63	115	1688
64	117	1684
65	118	1681
66	120	1681
67	122	1680
68	124	1678
69	126	1682
70	128	1680
71	130	1677
72	132	1678
73	133	1675
74	135	1673
75	137	1670
76	139	1666
77	140	1663
78	142	1662
79	144	1659
80	145	1655
81	147	1653
82	149	1650
83	151	1648
84	153	1647
85	154	1644
86	156	1642
87	158	1643
88	160	1643
89	162	1640
90	164	1640
91	166	1638
92	167	1635
93	169	1634
94	171	1633
95	173	1633
96	175	1633
97	177	1630
98	178	1628
99	180	1626
100	182	1623
101	184	1622
102	185	1619
103	187	1616
104	189	1614
105	191	1612
106	192	1609
107	194	1607
108	196	1605
109	198	1604
110	200	1605
111	202	1607
112	205	1613
113	207	1612
114	209	1609
115	210	1606
116	212	1603
117	214	1602
118	216	1600
119	218	1599
120	220	1598
121	221	1595
122	223	1593
123	225	1594
124	227	1591
125	229	1589
126	230	1587
127	232	1586
128	234	1583
129	236	1580
130	238	1578
131	239	1577
132	241	1574
133	243	1575
134	245	1573
135	247	1571
136	249	1572
137	251	1569
138	252	1565
139	254	1563
140	256	1560
141	257	1558
142	259	1555
143	261	1554
144	263	1551
145	264	1549
146	266	1547
147	268	1543
148	269	1539
149	271	1536
150	273	1535
151	274	1533
152	276	1531
153	278	1529
154	280	1527
155	282	1526
156	283	1523
157	285	1521
158	287	1518
159	288	1515
160	290	1513
161	292	1510
162	293	1507
163	295	1505
164	297	1504
165	298	1502
166	300	1499
167	302	1498
168	304	1495
169	305	1493
170	307	1491
171	309	1489
172	311	1488
173	312	1485
174	314	1484
175	316	1482
176	318	1481
177	320	1480
178	322	1478
179	323	1475
180	326	1476
181	328	1474
182	329	1472
183	332	1472
184	334	1471
185	335	1469
186	337	1469
187	339	1467
188	341	1465
189	343	1463
190	344	1461
191	346	1459
192	348	1456
193	350	1455
194	352	1453
195	353	1451
196	355	1449
197	357	1446
198	358	1444
199	360	1442
200	362	1440
201	364	1438
202	365	1436
203	367	1434
204	369	1432
205	370	1429
206	372	1427
207	374	1424
208	375	1422
209	377	1420
210	379	1418
211	380	1415
212	382	1414
213	384	1411
214	385	1409
215	387	1406
216	389	1403
217	391	1402
218	392	1399
219	393	1396
220	395	1393
221	397	1391
222	399	1390
223	400	1388
224	402	1386
225	404	1385
226	406	1383
227	407	1381
228	409	1380
229	411	1378
230	413	1375
231	415	1374
232	417	1372
233	418	1370
234	420	1368
235	422	1366
236	423	1364
237	425	1361
238	426	1359
239	428	1356
240	430	1354
241	431	1352
242	433	1349
243	434	1347
244	436	1345
245	438	1344
246	440	1342
247	442	1340
248	443	1338
249	445	1336
250	447	1334
251	448	1332
252	450	1330
253	452	1328
254	453	1326
255	456	1325
256	458	1324
257	459	1322
258	461	1321
259	463	1319
260	465	1317
261	466	1314
262	468	1312
263	470	1310
264	471	1309
265	473	1307
266	475	1305
267	477	1303
268	479	1301
269	480	1299
270	482	1297
271	484	1295
272	485	1293
273	487	1291
274	489	1289
275	490	1287
276	492	1285
277	494	1283
278	495	1281
279	497	1279
280	499	1277
281	500	1275
282	502	1273
283	504	1271
284	505	1269
285	507	1267
286	509	1266
287	511	1264
288	513	1262
289	515	1261
290	516	1258
291	518	1256
292	519	1254
293	521	1252
294	523	1250
295	524	1248
296	526	1246
297	528	1244
298	529	1242
299	531	1240
300	533	1238
301	534	1235
302	536	1233
303	537	1231
304	539	1229
305	541	1227
306	542	1225
307	544	1223
308	546	1221
309	547	1219
310	549	1217
311	552	1217
312	553	1215
313	555	1214
314	557	1211
315	559	1210
316	560	1208
317	562	1206
318	564	1204
319	565	1202
320	567	1200
321	569	1198
322	570	1196
323	572	1193
324	573	1191
325	575	1189
326	577	1187
