iter	Passed	Remaining
0	1	1285
1	3	1507
2	4	1515
3	5	1418
4	6	1349
5	7	1299
6	8	1256
7	9	1231
8	10	1210
9	12	1195
10	13	1182
11	14	1167
12	15	1158
13	16	1148
14	17	1139
15	18	1129
16	19	1121
17	20	1117
18	21	1113
19	22	1107
20	23	1101
21	24	1097
22	25	1093
23	26	1087
24	27	1087
25	28	1084
26	30	1081
27	31	1079
28	32	1075
29	33	1073
30	34	1070
31	35	1067
32	36	1066
33	37	1064
34	38	1062
35	39	1060
36	40	1058
37	41	1057
38	42	1054
39	43	1052
40	44	1050
41	45	1047
42	47	1046
43	48	1044
44	49	1042
45	50	1041
46	51	1039
47	52	1037
48	53	1036
49	54	1034
50	55	1032
51	56	1030
52	57	1028
53	58	1027
54	59	1025
55	60	1024
56	61	1022
57	62	1020
58	63	1019
59	64	1017
60	66	1016
61	67	1014
62	68	1013
63	69	1012
64	70	1011
65	71	1009
66	72	1008
67	73	1007
68	74	1006
69	75	1004
70	76	1003
71	77	1002
72	78	1000
73	79	999
74	80	997
75	81	995
76	82	994
77	84	993
78	85	991
79	86	990
80	87	989
81	88	987
82	89	986
83	90	985
84	91	984
85	92	983
86	93	981
87	94	980
88	95	979
89	96	977
90	97	976
91	98	975
92	99	974
93	100	973
94	102	971
95	103	970
96	104	969
97	105	968
98	106	967
99	107	965
100	108	964
101	109	963
102	110	962
103	111	960
104	112	959
105	113	958
106	114	957
107	115	956
108	116	955
109	117	953
110	118	952
111	120	951
112	121	950
113	122	949
114	123	948
115	124	947
116	125	946
117	126	945
118	127	943
119	128	942
120	129	941
121	130	940
122	131	939
123	132	938
124	133	937
125	134	936
126	136	935
127	137	934
128	138	933
129	139	932
130	140	931
131	141	930
132	142	929
133	143	928
134	144	927
135	145	926
136	146	924
137	147	923
138	148	922
139	150	921
140	151	920
141	152	919
142	153	918
143	154	917
144	155	916
145	156	915
146	157	913
147	158	912
148	159	911
149	160	910
150	161	908
151	162	907
152	163	906
153	164	905
154	165	904
155	166	903
156	168	902
157	169	900
158	170	899
159	171	898
160	172	897
161	173	896
162	174	895
163	175	894
164	176	892
165	177	891
166	178	890
167	179	889
168	180	888
169	181	887
170	182	884
171	183	883
172	184	881
173	185	881
174	186	879
175	187	878
176	188	877
177	189	876
178	190	875
179	191	874
180	193	873
181	194	872
182	195	871
183	196	869
184	197	868
185	198	867
186	199	866
187	200	865
188	201	864
189	202	863
190	203	862
191	204	861
192	205	860
193	206	859
194	207	857
195	208	856
196	209	855
197	211	854
198	212	853
199	213	852
200	214	851
201	215	850
202	216	849
203	217	848
204	218	847
205	219	846
206	220	845
207	221	844
208	222	843
209	223	842
210	224	840
211	225	839
212	226	838
213	228	837
214	229	836
215	230	835
216	231	834
217	232	833
218	233	832
219	234	831
220	235	829
221	236	828
222	237	827
223	238	827
224	239	825
225	240	824
226	241	823
227	243	822
228	244	821
229	245	820
230	246	819
231	247	818
232	248	817
233	249	816
234	250	815
235	251	814
236	252	813
237	253	812
238	254	811
239	255	810
240	256	809
241	257	808
242	259	806
243	260	805
244	261	804
245	262	803
246	263	802
247	264	801
248	265	800
249	266	799
250	267	798
251	268	797
252	269	795
253	270	794
254	271	793
255	272	792
256	273	791
257	274	790
258	275	789
259	277	788
260	278	787
261	279	786
262	280	784
263	281	783
264	282	782
265	283	781
266	284	780
267	285	779
268	286	778
269	287	777
270	288	776
271	289	775
272	290	774
273	291	772
274	292	771
275	293	770
276	294	769
277	295	768
278	297	767
279	298	766
280	299	765
281	300	764
282	301	763
283	302	761
284	303	760
285	304	759
286	305	758
287	306	757
288	307	756
289	308	755
290	309	754
291	310	753
292	311	752
293	312	751
294	313	750
295	314	748
296	315	747
297	316	746
298	318	745
299	319	744
300	320	743
301	321	742
302	322	741
303	323	740
304	324	739
305	325	738
306	326	737
307	327	736
308	328	734
309	329	733
310	330	732
311	331	731
312	332	730
313	333	729
314	335	728
315	336	727
316	337	726
317	338	725
318	339	724
319	340	723
320	341	722
321	342	721
322	343	720
323	344	718
324	345	717
325	346	716
326	347	715
327	348	714
328	349	713
329	350	712
330	351	711
331	352	710
332	353	709
333	355	707
334	356	706
335	357	705
336	358	704
337	359	703
338	360	702
339	361	701
340	362	700
341	363	699
342	364	698
343	365	697
344	366	696
345	367	694
346	368	693
347	369	692
348	370	691
349	371	690
350	372	689
351	374	688
352	375	687
353	376	686
354	377	685
355	378	684
356	379	683
357	380	682
358	381	681
359	382	680
360	383	679
361	384	677
362	385	676
363	386	675
364	387	674
365	388	673
366	389	672
367	391	671
368	392	670
369	393	669
370	394	668
371	395	667
372	396	666
373	397	665
374	398	664
375	399	663
376	400	662
377	401	661
378	402	659
379	403	658
380	404	657
381	405	656
382	406	655
383	408	654
384	409	653
385	410	652
386	411	651
387	412	650
388	413	649
389	414	648
