iter	MultiClass
0	1.349399132
1	1.317279104
2	1.29051849
3	1.262689168
4	1.239452421
5	1.222149427
6	1.200650735
7	1.185995372
8	1.166397163
9	1.151666956
10	1.136733272
11	1.123768826
12	1.110454143
13	1.098166882
14	1.080646319
15	1.07097163
16	1.059257647
17	1.049836846
18	1.035238608
19	1.020214451
20	1.013806126
21	1.005565499
22	1.001087876
23	0.9906237518
24	0.9827174623
25	0.9766769163
26	0.9723683089
27	0.9634092256
28	0.9566491761
29	0.9533692279
30	0.9434714085
31	0.9412991147
32	0.9367004978
33	0.9282767372
34	0.9215681001
35	0.9176099207
36	0.9140365595
37	0.9110760481
38	0.9083186706
39	0.9043105274
40	0.8984656631
41	0.8951992495
42	0.8929322199
43	0.888447323
44	0.8880201805
45	0.8844937857
46	0.8781105651
47	0.8748692628
48	0.8708444941
49	0.8682764773
50	0.8664349816
51	0.8620634981
52	0.8600721881
53	0.8568098986
54	0.8546579707
55	0.850487228
56	0.8490165151
57	0.8447406036
58	0.8432851802
59	0.8418206291
60	0.8397907241
61	0.8384231447
62	0.8359638806
63	0.83380968
64	0.8321048697
65	0.8300091841
66	0.82698195
67	0.8252248231
68	0.8248069028
69	0.8218938832
70	0.8209543148
71	0.8176374131
72	0.8160078985
73	0.8153450235
74	0.814787862
75	0.8135569422
76	0.8121425785
77	0.8110944108
78	0.8100687632
79	0.8093859888
80	0.8091691746
81	0.8089917651
82	0.8087414414
83	0.8072842012
84	0.8059845486
85	0.8045802008
86	0.8018437776
87	0.8014775803
88	0.7985960069
89	0.7964326383
90	0.7942141221
91	0.7934610746
92	0.7927264742
93	0.7923005045
94	0.7914391
95	0.7889304624
96	0.7882519504
97	0.787115165
98	0.786652112
99	0.7860495962
100	0.7856108038
101	0.7849067579
102	0.7844646651
103	0.7837094089
104	0.7829852552
105	0.7826983498
106	0.7823707464
107	0.7804244397
108	0.7799108888
109	0.7795741072
110	0.7794285463
111	0.778549377
112	0.7764811472
113	0.7761373782
114	0.7745326694
115	0.7729045632
116	0.772366356
117	0.7712994998
118	0.7706243141
119	0.7698752228
120	0.7695403002
121	0.7693444409
122	0.7685444882
123	0.7681389111
124	0.7674141064
125	0.7668636778
126	0.7667251934
127	0.7653622012
128	0.764765846
129	0.7647423002
130	0.7642103347
131	0.7628481056
132	0.7625237314
133	0.7621055358
134	0.7611176165
135	0.760420184
136	0.7595727148
137	0.7590671135
138	0.7578511707
139	0.7569203394
