iter	Passed	Remaining
0	16	8145
1	29	7355
2	39	6521
3	45	5641
4	51	5102
5	55	4585
6	59	4204
7	62	3863
8	64	3512
9	68	3345
10	72	3242
11	77	3134
12	82	3072
13	86	3003
14	91	2962
15	96	2923
16	100	2865
17	104	2808
18	109	2779
19	113	2732
20	117	2681
21	121	2634
22	125	2593
23	128	2548
24	132	2526
25	137	2498
26	141	2476
27	145	2448
28	148	2418
29	152	2394
30	156	2363
31	159	2336
32	163	2315
33	168	2306
34	172	2293
35	176	2280
36	181	2269
37	185	2255
38	187	2215
39	191	2202
40	194	2180
41	199	2173
42	201	2139
43	205	2125
44	206	2083
45	210	2075
46	214	2069
47	218	2055
48	219	2019
49	223	2013
50	227	2002
51	231	1993
52	233	1971
53	237	1961
54	241	1956
55	245	1946
56	250	1943
57	254	1936
58	258	1929
59	262	1924
60	265	1914
61	269	1902
62	273	1893
63	276	1887
64	281	1882
65	285	1877
66	289	1870
67	293	1864
68	296	1854
69	300	1847
70	304	1837
71	307	1829
72	311	1822
73	315	1813
74	319	1807
75	322	1799
76	327	1796
77	330	1789
78	334	1783
79	338	1777
80	339	1758
81	343	1751
82	344	1731
83	348	1724
84	351	1717
85	355	1710
86	358	1703
87	362	1697
88	366	1694
89	370	1688
90	374	1683
91	378	1677
92	382	1672
93	386	1669
94	390	1663
95	394	1658
96	397	1651
97	401	1645
98	405	1640
99	408	1634
100	412	1628
101	416	1623
102	420	1619
103	423	1613
104	428	1611
105	432	1606
106	436	1602
107	440	1599
108	444	1593
109	445	1578
110	446	1564
111	450	1559
112	453	1552
113	457	1548
114	461	1543
115	464	1537
116	468	1534
117	472	1530
118	476	1524
119	480	1520
120	483	1514
121	487	1510
122	491	1506
123	495	1501
124	498	1495
125	499	1483
126	503	1479
127	507	1475
128	511	1471
129	512	1459
130	515	1451
131	519	1447
132	523	1443
133	526	1437
134	527	1426
135	531	1421
136	534	1416
137	536	1407
138	540	1403
139	544	1399
140	547	1395
141	551	1390
142	555	1387
143	559	1383
144	562	1378
145	566	1373
146	570	1369
147	573	1364
148	577	1360
149	580	1355
150	584	1350
151	588	1346
152	592	1343
153	596	1339
154	599	1335
155	603	1330
156	607	1327
157	611	1323
158	615	1319
159	616	1310
160	620	1307
161	624	1303
162	628	1299
163	632	1294
164	635	1291
165	639	1287
166	643	1283
167	647	1278
168	651	1275
169	655	1272
170	659	1269
171	664	1267
172	669	1265
173	675	1265
174	680	1263
175	684	1260
176	688	1257
177	693	1255
178	698	1253
179	703	1250
180	706	1245
181	710	1242
182	714	1237
183	717	1232
184	720	1227
185	722	1219
186	726	1216
187	730	1211
188	733	1207
189	737	1202
190	741	1198
191	746	1197
192	752	1196
193	760	1199
194	768	1201
195	776	1204
196	783	1204
197	790	1205
198	796	1205
199	801	1202
200	807	1200
201	813	1199
202	816	1194
203	824	1196
204	833	1199
205	841	1201
206	843	1194
207	849	1193
208	854	1189
209	858	1185
210	863	1182
211	867	1177
212	871	1173
213	874	1168
214	878	1164
215	881	1159
216	885	1154
217	888	1149
218	892	1144
219	895	1139
220	897	1132
221	901	1129
222	905	1124
223	908	1119
224	912	1115
225	916	1111
226	920	1107
227	924	1102
228	928	1098
229	932	1094
230	936	1090
231	939	1085
232	943	1081
233	947	1077
234	952	1074
235	956	1069
236	959	1064
237	963	1060
238	966	1055
239	970	1051
240	973	1046
241	977	1042
242	981	1037
243	986	1035
244	992	1032
245	996	1029
246	1002	1026
247	1007	1023
248	1011	1019
249	1015	1015
250	1019	1011
251	1023	1006
252	1026	1002
253	1030	997
254	1034	993
255	1037	988
256	1041	984
257	1046	981
258	1049	977
259	1053	972
260	1057	968
261	1062	964
262	1066	960
263	1070	957
264	1077	955
265	1083	953
266	1089	950
267	1096	949
268	1102	947
269	1109	945
270	1114	941
271	1118	937
272	1123	934
273	1127	930
274	1132	926
275	1135	921
276	1140	917
277	1143	913
278	1147	909
279	1152	905
280	1155	900
281	1159	896
282	1163	892
283	1167	888
284	1171	883
285	1175	879
286	1178	874
287	1183	871
288	1186	866
289	1190	862
290	1194	857
